Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,3,378.2149,376.4194,373.2063,374.5966,374.7789,379.2038,384.0003,386.7435,391.1822,397.1388,404.6045
Co,5,369.4311,367.6832,363.4448,364.789,362.1684,366.0102,371.1164,373.5959,378.0664,383.9372,391.7351
Co,4,326.8131,325.9885,324.4751,322.1203,322.4288,324.2596,327.7941,329.7444,332.7924,339.2381,344.9985
Co,5,359.5412,356.6909,353.8157,355.7088,352.1968,355.3687,358.7793,359.3595,365.8172,372.6959,384.1364
Co,5,384.056,382.3165,377.7292,375.7008,372.3827,375.7145,379.6929,382.895,387.8547,396.7533,408.0282
Co,5,333.9789,331.2621,329.4238,331.9927,327.1252,334.1157,338.7898,341.8912,348.8553,355.2912,365.8726
Co,4,232.9306,231.6617,230.8694,230.5499,231.7962,234.6415,238.2188,240.679,243.3423,248.4232,254.2635
Co,5,353.1574,351.045,345.5226,343.8388,342.7705,342.8278,344.0202,345.049,349.8345,355.2064,362.3022
Co,4,369.7773,364.942,363.1584,360.6312,363.3315,368.479,372.1234,373.5215,379.803,390.4585,400.9631
Co,2,328.7645,328.1319,328.949,328.6291,328.4799,333.0771,336.2017,339.0362,340.8692,348.4663,355.1159
Co,5,323.1653,315.5209,309.8293,313.6686,309.4231,312.6955,313.296,312.9298,315.3378,319.8774,327.2019
Co,3,295.1765,292.3995,290.0586,293.0294,292.4767,295.8191,298.0568,299.1293,301.9974,308.6706,316.2267
Co,5,384.1816,383.0634,375.8424,374.4252,372.2601,373.8062,377.2097,378.4855,382.4097,389.6104,396.8949
Co,5,325.5731,323.1296,320.3276,320.4761,318.7582,322.8732,324.8406,328.1411,333.6756,340.7859,349.7872
Co,2,342.3742,341.9802,342.2873,343.6857,343.8256,346.1721,348.5958,349.284,354.2181,362.7989,374.9156
Co,2,259.9258,258.0973,259.9349,259.4453,260.4115,262.9979,266.1728,268.9266,272.5862,276.2244,283.6193
Co,4,272.3796,270.717,269.0244,266.1531,266.9728,268.5617,270.213,271.7553,275.1878,279.7488,284.6411
Co,5,257.0295,256.5908,255.7366,256.2956,255.4177,258.9575,262.8667,267.5327,272.2281,276.3435,281.4581
Co,4,265.0381,263.3135,263.091,261.5202,261.5925,264.0304,266.3535,268.5427,271.717,278.5507,285.9161
Co,4,365.7387,362.1173,359.8969,356.6827,359.262,361.4331,364.3432,365.7899,369.2338,373.3452,382.2346
Co,3,289.113,287.621,287.4067,289.6184,292.4952,296.8977,300.533,303.0297,307.3947,316.8233,325.2465
Co,4,376.967,370.2626,369.6233,366.5021,367.0658,367.2125,369.6169,369.8386,372.8733,375.9068,383.174
Co,4,392.5482,386.1732,384.5251,383.7891,384.0692,384.1147,384.314,385.1576,387.9532,397.3689,407.5305
Co,5,306.919,303.4254,299.6638,301.3922,298.428,301.0258,303.229,304.9956,306.712,311.7851,318.0179
Co,2,315.1727,313.878,314.4976,316.349,316.7976,322.8228,327.348,328.6309,330.1157,333.7359,340.6693
Co,5,304.9559,302.7453,301.1995,299.6186,298.4957,299.5835,298.5529,299.8043,301.9333,305.9854,311.4141
Co,5,270.3018,269.548,265.7694,265.6825,263.7686,265.3137,266.5911,268.5233,272.2564,276.2663,282.4822
Co,5,377.2319,374.551,372.6369,372.0246,371.3277,373.6947,376.0545,377.2919,382.0918,389.1167,399.9598
Co,4,379.8591,376.2919,377.3988,368.2412,368.7519,371.5404,374.1542,374.5519,378.3505,382.7387,389.74
Co,2,266.6579,266.3026,266.6234,266.8611,267.416,270.7841,274.4441,277.3489,280.0434,286.0565,295.1739
Co,2,346.574,343.2838,343.6985,343.8487,343.3169,349.8652,353.9388,353.6554,357.9426,363.9483,374.931
Co,5,337.2112,339.2287,334.4334,335.328,332.5892,334.7002,336.2669,338.1323,342.5727,351.2437,360.1798
Co,4,299.3827,295.3512,295.6969,294.8363,295.0075,297.9713,300.893,302.9028,308.5772,314.2157,323.1514
Co,4,376.7959,369.1933,367.1009,365.8461,366.144,370.6469,373.8167,377.8484,383.1939,394.4274,408.7119
Co,2,261.7031,259.5631,259.5686,260.3536,260.5253,265.2499,270.1766,272.4076,275.7232,279.4244,285.5466
