Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,1,97.3989,98.9773,98.9309,101.8959,102.585,103.3786,105.7979,108.1684,109.2417,107.9349,108.7469
Co,3,100.2351,100.0294,99.7615,101.326,102.7301,101.5736,104.5055,106.9975,109.0249,108.6148,107.2611
Co,5,102.3015,98.4845,96.4642,94.6043,91.0463,91.2033,93.6817,94.7472,93.5682,95.9615,97.391
Co,8,100.6544,98.2745,98.1696,99.0176,97.4559,95.0998,94.4656,94.2123,94.8727,94.6216,94.5975
Co,1,95.6543,96.9437,97.2438,97.6422,97.8959,98.1583,100.464,105.4898,108.5212,107.1922,109.1067
Co,5,102.9856,99.6334,98.8088,98.3622,96.2801,98.3985,98.7007,103.0103,108.6951,110.0938,112.2994
Co,11,96.0317,93.9682,93.2246,94.5543,96.5265,96.2442,96.6245,97.2749,94.5577,93.5196,92.2155
Co,6,116.1045,112.9322,112.2415,107.8906,107.2624,106.4413,106.8516,108.2739,109.8144,111.3262,112.4813
Co,5,109.5204,106.2133,104.4262,104.4718,104.3082,105.6761,110.4519,114.8345,110.7688,111.8255,109.071
Co,1,97.7407,98.1055,99.5672,101.1714,102.8282,102.8447,105.8116,107.1491,106.9285,109.1322,107.401
Co,6,100.6873,102.2996,97.1886,97.2969,96.902,96.5426,97.3416,98.584,100.7876,99.6553,103.7288
Co,6,102.2868,101.5179,98.3321,99.4877,97.5068,96.8993,99.999,104.6542,106.9784,104.0615,104.8129
Co,3,93.1274,92.4236,91.8213,95.7577,96.8075,96.8654,101.4704,105.8649,101.8947,102.0967,101.7048
Co,2,101.2024,96.6773,99.3905,100.0492,102.5714,100.6289,99.7497,99.307,99.3626,98.782,100.6094
Co,11,105.1151,104.7479,104.7773,104.4243,104.6747,103.8142,103.4587,104.1277,101.6511,102.1066,100.7293
Co,1,57.2677,57.9475,58.7233,60.5668,58.2878,60.7124,59.3843,60.8936,61.751,62.1346,62.543
