Chem,# LV Selected,LV-2RMSE,LV-3RMSE,LV-4RMSE,LV-5RMSE,LV-6RMSE,LV-7RMSE,LV-8RMSE,LV-9RMSE,LV-10RMSE,LV-11RMSE,LV-12RMSE
Co,9,418.6956,415.3961,409.9918,410.2267,404.9623,394.8486,401.9399,394.9573,384.4948,387.6855,403.7093
Co,5,407.4305,415.1473,403.8706,403.4382,401.7565,409.2049,410.3848,417.3752,409.5516,422.2686,431.6782
Co,8,324.6289,325.4167,325.9843,324.5436,324.1173,323.2546,323.7374,320.5825,321.536,324.9109,349.4079
Co,9,403.0745,402.9965,391.9113,383.0813,379.5243,375.4923,378.862,380.7806,375.4881,378.5707,383.7888
Co,9,358.6724,337.8355,332.7262,328.8647,320.9975,319.1281,324.3912,321.059,313.6352,327.8546,336.7783
Co,8,388.6299,383.926,385.7104,383.1315,380.4272,374.9814,369.3084,367.0283,367.9839,372.5803,385.8529
Co,9,390.5068,383.0988,373.262,373.0049,364.9487,365.3007,370.0223,360.2287,358.6433,363.4376,367.3014
Co,6,380.0475,390.5662,380.8559,390.2928,381.9944,376.161,377.1536,377.6534,378.4359,383.9884,398.0562
Co,6,418.0695,415.0777,409.8402,409.5022,406.9931,404.061,411.4745,412.3345,410.1541,415.4724,432.5716
Co,9,315.5861,325.4354,331.406,319.7781,318.426,317.3802,313.0335,311.8287,304.5858,308.238,316.2312
Co,9,337.5965,332.9851,334.2817,331.0746,322.5584,308.1738,305.8214,304.3222,302.5737,307.8637,313.8035
Co,8,394.8415,392.8271,398.8574,393.2302,390.3268,380.892,380.4154,374.0369,376.5968,375.8441,382.5181
Co,5,346.1747,331.658,317.8061,321.1543,312.1836,316.6134,319.5936,323.6927,317.3168,323.8437,343.4218
Co,5,364.2772,363.4459,352.0578,346.3858,344.7636,345.9736,349.3921,351.9639,356.8415,359.5145,378.4653
Co,5,351.0024,337.8415,337.9909,335.7127,335.3167,336.3169,337.493,337.3709,343.372,345.4467,359.6868
Co,9,393.9639,390.9784,376.88,364.7818,344.6498,341.9749,343.8304,341.6493,341.1461,343.1234,360.8017
